date,time,ax,ay,az,temp,hum,gas,heart,ir,flame,status
2025-10-29,20:46:38,-2776,13632,-9364,36.10,57.60,1360,131.00,1,1,UNSAFE
2025-10-29,20:46:39,-2872,13700,-9368,35.90,57.80,1360,82.00,1,1,SAFE
2025-10-29,20:46:40,-2640,13756,-9320,35.90,57.80,1354,132.00,1,1,UNSAFE
2025-10-29,20:46:41,-2132,13152,-10300,35.80,58.00,1377,132.00,1,1,UNSAFE
2025-10-29,20:46:42,-1948,13296,-10264,35.80,58.00,1374,132.00,1,1,UNSAFE
2025-10-29,20:46:43,-2052,13372,-10400,35.70,58.20,1366,98.00,1,1,SAFE
2025-10-29,20:46:44,-1968,13260,-10372,35.70,58.20,1365,98.00,1,1,SAFE
2025-10-29,20:46:45,-2140,13320,-10312,35.60,58.40,1360,98.00,1,1,SAFE
2025-10-29,20:46:46,-2160,13224,-10344,35.60,58.40,1363,98.00,1,1,SAFE
2025-10-29,20:46:47,-2480,13304,-10364,35.50,58.60,1360,50.00,1,1,UNSAFE
2025-10-29,20:46:48,-1184,12780,-10740,35.50,58.60,1362,50.00,1,1,UNSAFE
2025-10-29,20:46:49,-2432,13796,-9416,35.40,58.80,1358,50.00,1,1,UNSAFE
2025-10-29,20:46:50,-2372,13640,-8952,35.40,58.80,1363,131.00,1,1,UNSAFE
2025-10-29,20:46:51,-1812,13008,-9908,35.20,58.90,1390,132.00,1,1,UNSAFE
2025-10-29,20:46:52,-2376,13712,-9692,35.20,58.90,1389,132.00,1,1,UNSAFE
2025-10-29,20:46:53,-2308,13456,-9692,35.20,59.20,1383,132.00,1,1,UNSAFE
2025-10-29,20:46:54,-2016,13616,-9792,35.20,59.20,1381,132.00,1,1,UNSAFE
2025-10-29,20:46:55,-2280,13516,-9568,35.10,59.40,1374,50.00,1,1,UNSAFE
2025-10-29,20:46:56,-2256,13512,-9672,35.10,59.40,1360,115.00,1,1,SAFE
2025-10-29,20:46:57,-1556,14056,-10112,34.90,59.60,1350,131.00,1,1,UNSAFE
2025-10-29,20:46:58,-2036,13516,-9848,34.90,59.60,1349,132.00,1,1,UNSAFE
2025-10-29,20:46:59,-2148,13480,-9868,34.80,59.90,1350,132.00,1,1,UNSAFE
2025-10-29,20:47:00,-2048,13440,-9844,34.80,59.90,1347,132.00,1,1,UNSAFE
2025-10-29,20:47:01,-2040,13432,-9968,34.70,60.10,1334,99.00,1,1,SAFE
2025-10-29,20:47:02,-2052,13468,-9952,34.70,60.10,1342,98.00,1,1,SAFE
2025-10-29,20:47:03,-2096,13456,-9904,34.60,60.30,1343,98.00,1,1,SAFE
2025-10-29,20:47:04,-2148,13380,-9920,34.60,60.30,1335,98.00,1,1,SAFE
2025-10-29,20:47:05,-2012,13456,-9832,34.50,60.60,1334,97.00,1,1,SAFE
2025-10-29,20:47:06,-2012,13468,-9948,34.50,60.60,1338,98.00,1,1,SAFE
